Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.31,-.04,-.40,-.13,-.01,-.80,-.49,-.33,-.16,-.09,-.03,.05,.69
1881,-.09,-.20,.01,-.37,.10,-.06,-.86,-.46,-.25,.09,.12,-.05,-.07,.61
1882,-.11,-.23,.00,-.32,-.05,.02,-1.36,-.28,-.18,-.06,-.04,.02,.04,.64
1883,-.18,-.30,-.06,-.36,-.17,-.01,-.14,-.56,-.30,-.19,-.14,-.03,.07,.52
1884,-.28,-.44,-.14,-.62,-.15,-.13,-1.27,-.65,-.50,-.14,-.16,-.18,-.02,.67
1885,-.34,-.45,-.24,-.66,-.14,-.27,-1.47,-.69,-.48,-.09,-.19,-.33,-.15,.84
1886,-.32,-.45,-.19,-.58,-.20,-.21,-1.55,-.51,-.42,-.24,-.17,-.19,-.20,.61
1887,-.36,-.45,-.28,-.53,-.31,-.28,-1.73,-.51,-.31,-.32,-.29,-.27,-.26,.34
1888,-.18,-.25,-.11,-.43,.09,-.28,-1.27,-.44,-.26,.04,.14,-.30,-.22,.18
1889,-.11,-.19,-.03,-.30,.07,-.16,-.65,-.23,-.30,-.01,.15,-.15,-.15,.47
1890,-.36,-.40,-.32,-.47,-.38,-.22,-1.11,-.57,-.29,-.30,-.46,-.17,-.27,.17
1891,-.23,-.27,-.19,-.43,-.09,-.21,-1.08,-.33,-.38,-.02,-.16,-.18,-.24,-.14
1892,-.28,-.41,-.15,-.44,-.31,-.08,-1.09,-.66,-.19,-.37,-.25,.03,-.21,.11
1893,-.32,-.49,-.15,-.51,-.38,-.04,-.64,-.55,-.49,-.45,-.31,.07,-.20,-.02
1894,-.31,-.41,-.22,-.33,-.36,-.23,-.94,-.33,-.20,-.52,-.20,-.14,-.35,-.36
1895,-.23,-.32,-.15,-.41,-.09,-.25,-.66,-.53,-.29,-.18,.00,-.19,-.32,-.56
1896,-.12,-.22,-.03,-.36,.08,-.14,-.87,-.38,-.24,.02,.14,-.14,-.13,.27
1897,-.12,-.19,-.05,-.37,.15,-.23,-.55,-.48,-.27,.10,.20,-.18,-.27,.42
1898,-.28,-.31,-.26,-.37,-.23,-.26,-1.16,-.25,-.26,-.21,-.26,-.27,-.21,.39
1899,-.18,-.23,-.14,-.26,-.13,-.18,-1.04,-.10,-.17,-.18,-.08,-.15,-.22,.60
1900,-.09,-.12,-.06,-.22,.15,-.29,-.56,-.17,-.18,.05,.25,-.28,-.29,.29
1901,-.17,-.15,-.18,-.18,-.06,-.30,-.38,-.12,-.17,-.10,-.02,-.27,-.33,.28
1902,-.29,-.36,-.22,-.55,-.05,-.34,-1.54,-.52,-.34,-.05,-.06,-.28,-.43,-.03
1903,-.38,-.40,-.36,-.48,-.30,-.38,-.23,-.43,-.59,-.27,-.34,-.35,-.40,-.48
1904,-.48,-.50,-.46,-.53,-.48,-.43,-.21,-.61,-.57,-.46,-.49,-.37,-.49,-1.31
1905,-.27,-.30,-.22,-.42,-.09,-.35,-.06,-.24,-.64,-.13,-.06,-.32,-.37,-.33
1906,-.23,-.25,-.21,-.27,-.20,-.23,-.27,-.08,-.41,-.22,-.18,-.20,-.22,-.71
1907,-.39,-.49,-.30,-.60,-.32,-.29,-.60,-.73,-.54,-.32,-.31,-.21,-.37,-1.19
1908,-.43,-.47,-.40,-.49,-.45,-.35,-.26,-.56,-.53,-.44,-.46,-.28,-.48,.68
1909,-.49,-.51,-.48,-.55,-.49,-.44,-.76,-.63,-.46,-.46,-.53,-.37,-.52,-.56
1910,-.45,-.46,-.43,-.43,-.51,-.38,-.62,-.25,-.51,-.51,-.50,-.33,-.45,.17
1911,-.45,-.44,-.46,-.43,-.45,-.48,-.30,-.43,-.48,-.45,-.45,-.44,-.52,.06
1912,-.37,-.48,-.26,-.61,-.21,-.36,-.52,-.80,-.51,-.30,-.11,-.36,-.29,-1.63
1913,-.36,-.44,-.27,-.45,-.29,-.35,-.51,-.34,-.52,-.41,-.16,-.28,-.40,-1.03
1914,-.16,-.21,-.11,-.26,-.09,-.17,-.38,-.17,-.30,-.14,-.03,-.15,-.18,-.36
1915,-.15,-.15,-.13,-.24,-.02,-.22,-.60,-.17,-.20,-.03,-.02,-.15,-.23,-1.98
1916,-.37,-.44,-.31,-.39,-.46,-.23,-.53,-.55,-.26,-.52,-.40,-.23,-.17,-1.04
1917,-.47,-.59,-.36,-.51,-.64,-.19,-.83,-.51,-.44,-.70,-.58,-.23,-.09,.07
1918,-.31,-.42,-.20,-.42,-.35,-.13,-1.03,-.28,-.36,-.41,-.29,-.06,-.22,-.27
